Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Map
Orisa,TANK,7.68,56.48,1.94,9.48,PSN,Master,Hollywood
Reinhardt,TANK,6.48,50.3,2.03,7.56,PSN,Master,Hanamura
Roadhog,TANK,6.38,51.88,1.7,10.85,PSN,Master,Dorado
L�cio,SUPPORT,6.07,54.02,1.78,13.47,PSN,Master,Route 66
Baptiste,SUPPORT,5.38,51.43,1.73,13.23,PSN,Master,Dorado
Hanzo,DEFENSE,4.79,47.52,1.77,15.09,PSN,Master,Route 66
Zarya,TANK,3.4,50.14,1.76,11.71,PSN,Master,Eichenwalde
Wrecking Ball,TANK,3.32,54.18,1.63,4.08,PSN,Master,Tower
Soldier: 76,OFFENSE,3.23,51.67,1.61,13.37,PSN,Master,Eichenwalde
Widowmaker,DEFENSE,3.2,52.14,1.39,10.35,PSN,Master,Route 66
Ana,SUPPORT,3.14,50.35,2.15,9.84,PSN,Master,Lijiang
McCree,OFFENSE,3.08,49.81,1.88,12.17,PSN,Master,Dorado
Pharah,OFFENSE,3,53,2.25,14.93,PSN,Master,Route 66
Moira,SUPPORT,2.97,53.94,1.63,10.31,PSN,Master,King's Row
D.Va,TANK,2.92,49.39,2.45,7.55,PSN,Master,Horizon Lunar Colony
Genji,OFFENSE,2.85,51.28,1.56,12.62,PSN,Master,Hanamura
Sombra,OFFENSE,2.5,50.24,2.01,15.51,PSN,Master,Tower
Ashe,OFFENSE,2.3,53.26,1.94,11.77,PSN,Master,Horizon Lunar Colony
Zenyatta,SUPPORT,2.15,52.6,1.44,5.91,PSN,Master,Lijiang
Torbj�rn,DEFENSE,2.04,52.42,1.99,9.15,PSN,Master,Dorado
Tracer,OFFENSE,1.86,48.1,1.56,9.58,PSN,Master,Tower
Doomfist,OFFENSE,1.58,53.71,1.1,8.14,PSN,Master,Dorado
Reaper,OFFENSE,1.5,51.04,0.9,16.48,PSN,Master,Dorado
Symmetra,SUPPORT,1.46,57.07,1.85,9.19,PSN,Master,Route 66
Junkrat,DEFENSE,1.41,51.75,1.92,10.36,PSN,Master,Route 66
Winston,TANK,1.28,48.62,1.21,5.9,PSN,Master,Horizon Lunar Colony
Brigitte,SUPPORT,1.24,56.24,1.25,11.87,PSN,Master,Hollywood
Bastion,DEFENSE,1.16,52.85,3.18,16.85,PSN,Master,King's Row
Mei,DEFENSE,0.81,53.01,0.72,10.11,PSN,Master,Lijiang
Mercy,SUPPORT,10.38,58.87,1.33,2.44,PSN,Grandmaster,Route 66
Orisa,TANK,9.9,59.62,1.6,12.58,PSN,Grandmaster,Dorado
Roadhog,TANK,7.93,58.36,1.74,12.65,PSN,Grandmaster,Eichenwalde
Hanzo,DEFENSE,6.74,52.71,2.15,16.92,PSN,Grandmaster,King's Row
Soldier: 76,OFFENSE,5.52,57.34,1.5,14.71,PSN,Grandmaster,Eichenwalde
L�cio,SUPPORT,5.34,56.23,2.84,13.66,PSN,Grandmaster,Hanamura
Pharah,OFFENSE,4.6,57.1,2.99,16.54,PSN,Grandmaster,Hollywood
Baptiste,SUPPORT,4.17,58.04,2.31,14.94,PSN,Grandmaster,Dorado
Widowmaker,DEFENSE,4.15,52.36,1.49,12.53,PSN,Grandmaster,Tower
McCree,OFFENSE,3.99,51.85,1.9,12.79,PSN,Grandmaster,Tower
Sombra,OFFENSE,3.75,57.38,1.83,16.84,PSN,Grandmaster,Dorado
Reinhardt,TANK,3.38,58.51,1.83,9.5,PSN,Grandmaster,King's Row
Ashe,OFFENSE,3.25,60.95,2.33,14.55,PSN,Grandmaster,Hollywood
Tracer,OFFENSE,3.04,54.23,1.13,11.33,PSN,Grandmaster,Hollywood
Wrecking Ball,TANK,2.49,59.14,3.05,5.47,PSN,Grandmaster,Horizon Lunar Colony
Bastion,DEFENSE,2.09,57.77,2.31,18.08,PSN,Grandmaster,Hanamura
Zarya,TANK,2.08,53.06,2.65,14.98,PSN,Grandmaster,King's Row
Genji,OFFENSE,1.88,60.97,1.47,12.57,PSN,Grandmaster,Route 66
Torbj�rn,DEFENSE,1.81,52.31,1.14,8.72,PSN,Grandmaster,Eichenwalde
Symmetra,SUPPORT,1.71,57.26,0.4,8.12,PSN,Grandmaster,Route 66
Ana,SUPPORT,1.69,56.85,2.03,9.8,PSN,Grandmaster,Lijiang
D.Va,TANK,1.69,51.44,0.82,9.55,PSN,Grandmaster,Tower
Junkrat,DEFENSE,1.6,55.65,1.29,12.4,PSN,Grandmaster,Dorado
Zenyatta,SUPPORT,1.51,54.84,1.36,6.61,PSN,Grandmaster,Route 66
Doomfist,OFFENSE,1.43,56.59,0.97,8.91,PSN,Grandmaster,Tower
Winston,TANK,1.03,53.42,2.67,9.26,PSN,Grandmaster,Lijiang
Mei,DEFENSE,0.87,56,1.57,10.73,PSN,Grandmaster,Tower
Reaper,OFFENSE,0.72,51.96,1.92,16.01,PSN,Grandmaster,King's Row
Moira,SUPPORT,0.71,46.08,0.97,12.29,PSN,Grandmaster,Hollywood
Brigitte,SUPPORT,0.53,63.16,1.3,11.1,PSN,Grandmaster,Horizon Lunar Colony
